lname,fname,handle_part,state,district,X115.St.Dis,Party,Replaced,stateabb,dist
Vargas,Juan,RepJuanVargas,,NA,CA51,D,,CA,51
Veasey,Marc,RepVeasey,,NA,TX33,D,,TX,33
Vela,Filemon,RepFilemonVela,,NA,TX34,D,,TX,34
Velázquez,Nydia,NydiaVelazquez,,NA,NY07,D,,NY,7
Wagner,Ann,RepAnnWagner,,NA,MO02,R,,MO,2
Walden,Greg,repgregwalden,,NA,OR02,R,,OR,2
Walker,Mark,RepMarkWalker,,NA,NC06,R,,NC,6
Walters,Mimi,RepMimiWalters,,NA,CA45,R,,CA,45
Walz,Timothy,RepTimWalz,,NA,MN01,D,,MN,1
Waters,Maxine,MaxineWaters,,NA,CA43,D,,CA,43
Webster,Daniel,RepWebster,Florida,NA,FL11,R,,FL,11
Welch,Peter,PeterWelch,,NA,VT00,D,,VT,0
Wenstrup,Brad,RepBradWenstrup,,NA,OH02,R,,OH,2
Wilson,Frederica,RepWilson,,NA,FL24,D,,FL,24
Wilson,Joe,RepJoeWilson,,NA,SC02,R,,SC,2
Wittman,Robert,RobWittman,,NA,VA01,R,,VA,1
Womack,Steve,rep_stevewomack,,NA,AR03,R,,AR,3
Woodall,Rob,RepRobWoodall,,NA,GA07,R,,GA,7
Yarmuth,John,RepJohnYarmuth,,NA,KY03,D,,KY,3
Yoder,Kevin,RepKevinYoder,,NA,KS03,R,,KS,3
Yoho,Ted,RepTedYoho,,NA,FL03,R,,FL,3
Young,David,RepDavidYoung,,NA,IA03,R,,IA,3
Young,Don,repdonyoung,,NA,AK00,R,,AK,0
Zeldin,Lee,RepLeeZeldin,,NA,NY01,R,,NY,1
Clay,William,LacyClayMO1,Missouri,1,MO01,D,,MO,1
Correa,J.,RepLouCorrea,California,46,CA46,D,,CA,46
Gabbard,Tulsi,TulsiGabbard,Hawaii,2,HI02,D,,HI,2
Gianforte,Greg,GregForMontana,Montana,0,MT00,R,,MT,0
Gowdy,Trey,TGowdySC,South Carolina,4,SC04,R,,SC,4
Handel,Karen,karenhandel,Georgia,6,GA06,R,,GA,6
Higgins,Clay,RepClayHiggins,Louisiana,3,LA03,R,,LA,3
Hoyer,Steny,WhipHoyer,Maryland,5,MD05,D,,MD,5
Johnson,Mike,RepMikeJohnson,Louisiana,4,LA04,R,,LA,4
Lamb,Conor,ConorLambPA,Pennsylvania,18,PA18,D,,PA,18
Lesko,Debbie,DebbieLesko,Arizona,8,AZ08,R,,AZ,8
Luján,Ben,repbenraylujan,New Mexico,3,NM03,D,,NM,3
Norman,Ralph,RalphNorman,South Carolina,5,SC05,R,,SC,5
Nunes,Devin,DevinNunes,California,22,CA22,R,,CA,22
Pearce,Stevan,RepStevePearce,New Mexico,2,NM02,R,,NM,2
Peterson,Collin,collinpeterson,Minnesota,7,MN07,D,,MN,7
Rutherford,John,RepRutherfordFL,Florida,4,FL04,R,,FL,4
Scalise,Steve,SteveScalise,Louisiana,1,LA01,R,,LA,1
Balderson,Troy,Troy_Balderson,Ohio,12,NA,NA,NA,NA,NA
Cloud,Mike,MichaelJCloud,Texas,27,NA,NA,NA,NA,NA
Curtis,John,CurtisUT,Utah,3,NA,NA,NA,NA,NA
Gomez,Jimmy,JimmyGomezCA,California,34,NA,NA,NA,NA,NA
