lname,fname,handle_part,state,district,X115.St.Dis,Party,Replaced,stateabb,dist
Maloney,Carolyn,RepMaloney,New York,12,NY12,D,,NY,12
McCarthy,Kevin,GOPLeader,California,23,CA23,R,,CA,23
McCaul,Michael,RepMcCaul,Texas,10,TX10,R,,TX,10
McClintock,Tom,RepMcClintock,California,4,CA04,R,,CA,4
McEachin,A.,RepMcEachin,Virginia,4,VA04,D,,VA,4
McGovern,James,RepMcGovern,Massachusetts,2,MA02,D,,MA,2
McKinley,David,RepMcKinley,West Virginia,1,WV01,R,,WV,1
McNerney,Jerry,RepMcNerney,California,9,CA09,D,,CA,9
McSally,Martha,RepMcSally,Arizona,2,AZ02,R,,AZ,2
Meehan,Pat,RepMeehan,Pennsylvania,7,PA07,,no replacement,PA,7
Moolenaar,John,RepMoolenaar,Michigan,4,MI04,R,,MI,4
Mullin,Markwayne,RepMullin,Oklahoma,2,OK02,R,,OK,2
Newhouse,Dan,RepNewhouse,Washington,4,WA04,R,,WA,4
O'Halleran,Tom,RepOHalleran,Arizona,1,AZ01,D,,AZ,1
Palazzo,Steven,CongPalazzo,Mississippi,4,MS04,R,,MS,4
Perlmutter,Ed,RepPerlmutter,Colorado,7,CO07,D,,CO,7
Pittenger,Robert,reppittenger,North Carolina,9,NC09,R,,NC,9
Poe,Ted,JudgeTedPoe,Texas,2,TX02,R,,TX,2
Poliquin,Bruce,RepPoliquin,Maine,2,ME02,R,,ME,2
Raskin,Jamie,RepRaskin,Maryland,8,MD08,D,,MD,8
Ratcliffe,John,RepRatcliffe,Texas,4,TX04,R,,TX,4
Richmond,Cedric,RepRichmond,Louisiana,2,LA02,D,,LA,2
Rooney,Francis,RepRooney,Florida,19,FL19,R,,FL,19
Ros-Lehtinen,Ileana,RosLehtinen,Florida,27,FL27,R,,FL,27
Ruiz,Raul,CongressmanRuiz,California,36,CA36,D,,CA,36
Ruppersberger,C.,Call_Me_Dutch,Maryland,2,MD02,D,,MD,2
Russell,Steve,RepRussell,Oklahoma,5,OK05,R,,OK,5
Sanford,Mark,RepSanfordSC,South Carolina,1,SC01,R,,SC,1
Sarbanes,John,RepSarbanes,Maryland,3,MD03,D,,MD,3
Schakowsky,Janice,janschakowsky,Illinois,9,IL09,D,,IL,9
Schneider,Bradley,RepSchneider,Illinois,10,IL10,D,,IL,10
Schrader,Kurt,RepSchrader,Oregon,5,OR05,D,,OR,5
Schweikert,David,RepDavid,Arizona,6,AZ06,R,,AZ,6
Sensenbrenner,F.,JimPressOffice,Wisconsin,5,WI05,R,,WI,5
Shimkus,John,RepShimkus,Illinois,15,IL15,R,,IL,15
Sinema,Kyrsten,RepSinema,Arizona,9,AZ09,D,,AZ,9
Sires,Albio,RepSires,New Jersey,8,NJ08,D,,NJ,8
Smucker,Lloyd,RepSmucker,Pennsylvania,16,PA16,R,,PA,16
Speier,Jackie,RepSpeier,California,14,CA14,D,,CA,14
Stefanik,Elise,RepStefanik,New York,21,NY21,R,,NY,21
Taylor,Scott,Scotttaylorva,Virginia,2,VA02,R,,VA,2
Tenney,Claudia,RepTenney,New York,22,NY22,R,,NY,22
Thompson,Glenn,CongressmanGT,Pennsylvania,5,PA05,R,,PA,5
Thompson,Mike,RepThompson,California,5,CA05,D,,CA,5
Thornberry,Mac,MacTXPress,Texas,13,TX13,R,,TX,13
Tipton,Scott,RepTipton,Colorado,3,CO03,R,,CO,3
Titus,Dina,repdinatitus,Nevada,1,NV01,D,,NV,1
Tsongas,Niki,nikiinthehouse,Massachusetts,3,MA03,D,,MA,3
Visclosky,Peter,RepVisclosky,Indiana,1,IN01,D,,IN,1
Walberg,Tim,RepWalberg,Michigan,7,MI07,R,,MI,7
Walorski,Jackie,RepWalorski,Indiana,2,IN02,R,,IN,2
Wasserman Schultz,Debbie,RepDWStweets,Florida,23,FL23,D,,FL,23
Watson Coleman,Bonnie,RepBonnie,New Jersey,12,NJ12,D,,NJ,12
Weber,Randy,TXRandy,Texas,14,TX14,R,,TX,14
Westerman,Bruce,RepWesterman,Arkansas,4,AR04,R,,AR,4
Williams,Roger,RepRWilliams,Texas,25,TX25,R,,TX,25
Aderholt,Robert,Robert_Aderholt,,NA,AL04,R,,AL,4
Aguilar,Pete,RepPeteAguilar,,NA,CA31,D,,CA,31
Allen,Rick,RepRickAllen,,NA,GA12,R,,GA,12
Amash,Justin,justinamash,,NA,MI03,R,,MI,3
Amodei,Mark,MarkAmodeiNV,,NA,NV02,R,,NV,2
Babin,Brian,RepBrianBabin,,NA,TX36,R,,TX,36
Bacon,Don,RepDonBacon,,NA,NE02,R,,NE,2
Banks,Jim,RepJimBanks,,NA,IN03,R,,IN,3
Barletta,Lou,RepLouBarletta,,NA,PA11,R,,PA,11
Barr,Andy,RepAndyBarr,,NA,KY06,R,,KY,6
Barton,Joe,RepJoeBarton,,NA,TX06,R,,TX,6
Bass,Karen,RepKarenBass,,NA,CA37,D,,CA,37
Becerra,Xavier,RepBecerra,,NA,CA34,D,Jimmy Gomez,CA,34
Bera,Ami,RepBera,California,NA,CA07,D,,CA,7
Bergman,Jack,RepJackBergman,,NA,MI01,R,,MI,1
Beyer,Donald,RepDonBeyer,,NA,VA08,D,,VA,8
Biggs,Andy,RepAndyBiggsAZ,,NA,AZ05,R,,AZ,5
Bilirakis,Gus,RepGusBilirakis,,NA,FL12,R,,FL,12
Bishop,Mike,RepMikeBishop,,NA,MI08,R,,MI,8
Bishop,Rob,RepRobBishop,,NA,UT01,R,,UT,1
Black,Diane,RepDianeBlack,,NA,TN06,R,,TN,6
Blackburn,Marsha,MarshaBlackburn,,NA,TN07,R,,TN,7
Blum,Rod,RepRodBlum,,NA,IA01,R,,IA,1
