,Date,Title,Organization,City,State,URL,Hate Incident,New Incident,Day of Incident,Month of Incident,Year of Incident,Violent,Num Victims,Num Perp,Num Deaths,Issue Identity,Incident City,Incident State,Incident Type,Inc Intensity,Notes
1324,5/3/2017,Officials: Murrieta high school vandalism is a hate crime,Press-Enterprise,Riverside,CA,http://www.pe.com/2017/05/03/officials-murrieta-high-school-vandalism-is-a-hate-crime/,1,0,24,4,2017,0,na,2,na,LGBT/Race/Religion,Murrieta,California,Vandalism,2,
1325,5/3/2017,ADL Commends Law Enforcement for Investigating DU Vandalism as Potential Hate Crime,Boulder Jewish News,Boulder,Colorado,http://boulderjewishnews.org/2017/adl-commends-law-enforcement-for-investigating-du-vandalism-as-potential-hate-crime/,,,,,,,,,,,,,,,Duplicate story
1326,5/4/2017,Sikh American physician Prabhjot Singh recalls hate crime attack,The American Bazaar,Washington,DC,https://www.americanbazaaronline.com/2017/05/04/sikh-american-physician-prabhjot-singh-recalls-hate-crime-attack/,,,,,,,,,,,,,,,Url broken
1327,5/4/2017,FBI helping American University investigate hate crime,Washington Post,Washington,DC,https://www.washingtonpost.com/video/local/fbi-helping-american-university-investigate-hate-crime/2017/05/04/bb4beda8-30d0-11e7-a335-fa0ae1940305_video.html,,,,,,,,,,,,,,,Duplicate story
1328,5/4/2017,"They threw a bottle of urine at her face, cutting her nose' - Why we need to stop religious persecution in the US",Catholic Online,Bakersfield,CA,http://www.catholic.org/news/hf/faith/story.php?id=74783,0,na,na,na,na,na,na,na,na,na,na,na,Opinion piece,na,
1329,5/4/2017,Harris County DA charges white man with hate crime: “I hate n—– and I'm gonna kill me one today”,CW39,Houston,Texas,http://cw39.com/2017/05/04/white-harris-county-man-charged-with-hate-crime-after-attacking-black-victim-da-says/,,,,,,,,,,,,,,,Duplicate story
1330,5/4/2017,Police: Man charged with hate crime attack yelled 'white power',CNN International,,,http://www.cnn.com/2017/05/04/us/hate-crime-nyc-trnd/,,,,,,,,,,,,,,,Duplicate story
1331,5/4/2017,"Police: Man charged with hate crime attack yelled 'white power' - KXLF.com | Continuous News | Butte, Montana",KXLF Butte News,Butte,MT,http://www.kxlf.com/story/35342951/police-man-charged-with-hate-crime-attack-yelled-white-power,,,,,,,,,,,,,,,Url broken + Duplicate story
1332,5/4/2017,Police: Man charged with hate crime attack yelled 'white power' - ABC57 News - See the Difference Michiana,ABC 57 News,South Bend,Indiana,http://www.abc57.com/story/35342951/police-man-charged-with-hate-crime-attack-yelled-white-power,,,,,,,,,,,,,,,Url broken + Duplicate story
1333,5/4/2017,"TBI releases crime studies on hate crime, violence against law enforcement officers",Winchester Herald Chronicle,Winchester,TN,http://www.heraldchronicle.com/tbi-releases-crime-studies-on-hate-crime-violence-against-law-enforcement-officers/,0,na,na,na,na,na,na,na,na,na,na,na,Hate crime report,na,
