Incident number,Date,Title,Organization,City,State,URL,Hate Incident,New Incident,Day of Incident,Month of Incident,Year of Incident,Violent,Num Victims,Num Perp,Num Deaths,Issue Identity,Incident City,Incident State,Incident Type,Inc Intensity,Notes
4509,9/2/2017,Rosenstein to speak at upcoming conference,News Courier,Athens,AL,http://www.enewscourier.com/news/local_news/rosenstein-to-speak-at-upcoming-conference/article_b877a3da-8f79-11e7-8571-67f1b4f36b89.html,0,na,na,na,na,na,na,na,na,na,na,na,speech,na,
4510,9/2/2017,Klan Affiliate Reportedly Threatens Gay Florida Politician,Advocate.com,Los Angeles,CA,https://www.advocate.com/politics/2017/9/02/klan-affiliate-reportedly-threatens-gay-florida-politician,1,0,26,8,17,0,1,1,0,LGBT,Cape Coral,Florida,Hate mail,2,
4511,9/2/2017,Where Hate Speech Begins,Fordham Observer,New York,NY,http://www.fordhamobserver.com/where-hate-speech-begins/,0,na,na,na,na,na,na,na,na,na,na,na,opinion,na,
4512,9/2/2017,Video Released Of Attack By San Francisco Hate Crime Suspect,CBS San Francisco Bay Area,,,http://sanfrancisco.cbslocal.com/2017/09/02/video-released-of-attack-by-san-francisco-hate-crime-suspect/,1,1,10,8,17,0,1,1,0,Race,San Francisco,California,Assault,3,
4513,9/2/2017,Congressman's legislation would punish colleges for not 'adequately' responding to hate incidents,The College Fix,Hillsdale,MI,https://www.thecollegefix.com/post/36284/,0,na,na,na,na,na,na,na,na,na,na,na,policy,na,
4514,9/2/2017,Kittens left for dead in cooler bag rescued in San Rafael,SFGate,San Francisco,CA,http://www.sfgate.com/crime/article/Kittens-left-for-dead-in-cooler-bag-rescued-in-12169663.php,0,na,na,na,na,na,na,na,na,na,na,na,not hate,na,
4515,9/2/2017,"TKC SATURDAY NIGHT PLAYLIST: ISN'T ALL KANSAS CITY HOMICIDE, HATE CRIME???",tonyskansascity.com,Bonner Springs,KS,http://www.tonyskansascity.com/2017/09/tkc-saturday-night-playlist-isnt-all.html,0,na,na,na,na,na,na,na,na,na,na,na,not hate,na,
4516,9/2/2017,SFPD releases video of possible hate crime assault,SFGate,San Francisco,CA,http://www.sfgate.com/crime/article/SFPD-releases-video-of-possible-hate-crime-assault-12169851.php,1,1,10,8,17,0,1,1,0,Race,San Francisco,California,Assault,3,
4517,9/3/2017,Agustin Garcia Arrested for Alleged Brutal Attacks Targeting Asian Woman,fugitive.com,Danville,CA,http://www.fugitive.com/2017/09/03/agustin-garcia-arrested-for-alleged-brutal-attacks-targeting-asian-woman/,1,1,10,8,17,0,1,1,0,Race,San Francisco,California,Assault,3,
4518,9/3/2017,Ebel: Hate is a Public Health Issue,The Newark Advocate,Newark,OH,http://www.newarkadvocate.com/story/news/local/2017/09/03/ebel-hate-public-health-issue/590696001/,0,na,na,na,na,na,na,na,na,na,na,na,speech,na,
4519,9/3/2017,Agustin Garcia Arrested for Alleged Brutal Attacks Targeting Asian Woman,fugitive.com,Danville,CA,http://www.fugitive.com/2017/09/03/agustin-garcia-arrested-for-alleged-brutal-attacks-targeting-asian-woman/,1,1,10,8,17,0,1,1,0,Race,San Francisco,California,Assault,3,
4520,9/3/2017,Ebel: Hate is a Public Health Issue,The Newark Advocate,Newark,OH,http://www.newarkadvocate.com/story/news/local/2017/09/03/ebel-hate-public-health-issue/590696001/,0,na,na,na,na,na,na,na,na,na,na,na,speech,na,
4521,9/3/2017,Man Arrested For Spree of Brutal Attacks Targeting Asian Women in San Francisco,NextShark,Tustin,,https://nextshark.com/agustin-garcia-san-francisco-attack-asian-women/,1,1,10,8,17,0,1,1,0,Race,San Francisco,California,Assault,3,
4522,9/3/2017,Muslims Angered After Islamic Gang Rape Warnings Posted In UK,The Daily Caller,Washington,DC,http://dailycaller.com/2017/09/03/muslims-angered-after-islamic-gang-rape-warnings-posted-in-uk/,0,na,na,na,na,na,na,na,na,na,na,na,international,na,
4523,9/3/2017,Scotch Plains Man Arrested For Pepper Spray Attack in Asbury Park,moremonmouthmusings.net,Englishtown,NJ,http://www.moremonmouthmusings.net/tag/stand-against-hate-rally/,0,na,na,na,na,na,na,na,na,na,na,na,rally,na,
4524,9/4/2017,"After Charlottesville, Utah Lawmaker To Press Harder For Hate Crimes Bill",RadioWest,Salt Lake City,UT,http://kuer.org/post/after-charlottesville-utah-lawmaker-press-harder-hate-crimes-bill,0,na,na,na,na,na,na,na,na,na,na,na,policy,na,
4525,9/4/2017,Charlottesville poses new civil rights test for Sessions,Daily Journal,Franklin,Indiana,http://www.dailyjournal.net/2017/09/04/us-confederate-monuments-protest-attorney-general/,0,na,na,na,na,na,na,na,na,na,na,na,opinion,na,
4526,9/4/2017,Charlottesville poses a new civil rights test for attorney general,Sumter Item,Sumter,SC,"http://www.theitem.com/stories/charlottesville-poses-a-new-civil-rights-test-for-attorney-general,294821",0,na,na,na,na,na,na,na,na,na,na,na,policy,na,
4527,9/4/2017,Charlottesville poses new test for Sessions,The Detroit News,Detroit,MI,http://www.detroitnews.com/story/news/politics/2017/09/04/jeff-sessions-charlottesville-civil-rights-test/105268506/,0,na,na,na,na,na,na,na,na,na,na,na,policy,na,
4528,9/4/2017,Hamilton: The World Outside,hollywoodprogressive.com,Los Angeles,CA,http://hollywoodprogressive.com/hamilton/,0,na,na,na,na,na,na,na,na,na,na,na,story,na,
4529,9/4/2017,"Nuke F******G Sikhs': Man Vandalizes Sikh Temple, Calls For Genocide",Carbonated.tv,San Ramon,CA,http://www.carbonated.tv/news/sikh-temple-vandalized-hollywood-video,1,1,31,8,17,0,na,1,0,Race/Religion,Los Angeles,California,Vandalism/threats,2,
4530,9/4/2017,"After Charlottesville, Utah Lawmaker To Press Harder For Hate Crimes Bill",RadioWest,Salt Lake City,UT,http://kuer.org/post/after-charlottesville-utah-lawmaker-press-harder-hate-crimes-bill,0,na,na,na,na,na,na,na,na,na,na,na,policy,na,
