Date,Title,Organization,City,State,URL,Keyword,Summary
7/18/2018 0:00,Stop the Hate' forum educates El Cajon community on hate crimes; offers resources to victims,The San Diego Union-Tribune,San Diego,CA,http://www.sandiegouniontribune.com/news/public-safety/sd-me-hate-crimes-20180717-story.html,arab attorney braverman cajon california coalition crimes diego hate slit speech stop tenorio arab attorney braverman cajon california coalition crimes diego hate slit speech stop tenorio arab attorney braverman cajon california coalition crimes diego hate slit speech stop tenorio arab attorney braverman cajon california coalition crimes diego hate slit speech stop tenorio arab attorney braverman cajon california coalition crimes diego hate slit speech stop tenorio arab attorney braverman cajon california coalition crimes diego hate slit speech stop tenorio arab attorney braverman cajon california coalition crimes diego hate slit speech stop tenorio,Is it free speech or hate speech to say that all Arabs are terrorists who shouldn't be allowed to live? What about calling a specific person a terrorist and suggesting that someone should put a bullet in his head? Or telling a Muslim you're going to slit
7/18/2018 0:00,6 People To Face Ethnic Intimidation Charges In Alleged Attack At Avalon Bar,CBS Pittsburgh,,,https://pittsburgh.cbslocal.com/2018/07/17/avalon-jackman-inn-assault-ethnic-intimidation-charges/,attack avalon bar chief ethnic facebook inn intimidation jackman kdka keystone kokoski morris police scanlon twitter attack avalon bar chief ethnic facebook inn intimidation jackman kdka keystone kokoski morris police scanlon twitter attack avalon bar chief ethnic facebook inn intimidation jackman kdka keystone kokoski morris police scanlon twitter attack avalon bar chief ethnic facebook inn intimidation jackman kdka keystone kokoski morris police scanlon twitter,"Follow KDKA-TV: Facebook | Twitter   AVALON (KDKA) — A least six people will be charged for allegedly assaulting a black man at a bar in Avalon.     It was the night Saturday, July 7, when several people, allegedly part of a group describe as a white"
7/18/2018 0:00,Protecting Vulnerable Communities from Hate Crime,mpac.org,Torrance,CA,https://www.mpac.org/blog/updates/protecting-vulnerable-communities-from-hate-crime.php,null,null
7/18/2018 0:00,Hate Crime Reported Up,wchv.com,Charlottesville,VA,http://www.wchv.com/2018/07/18/hate-crime-reported-up/,null,null
7/18/2018 0:00,Plan to combat hate crimes,ourweekly.com,Altadena,CA,http://ourweekly.com/news/2018/jul/20/plan-combat-hate-crimes/,null,null
7/18/2018 0:00,Muslim Americans See a Major Spike in Hate Crimes—and Political Participation,Pacific Standard,Santa Barbara,CA,https://psmag.com/social-justice/muslim-americans-see-a-major-spike-in-hate-crimes-and-political-participation,american anti arain cair court hoq islamophobia islamophobic muslim nawabi pacific standard trump xenophobia american anti arain cair court hoq islamophobia islamophobic muslim nawabi pacific standard trump xenophobia american anti arain cair court hoq islamophobia islamophobic muslim nawabi pacific standard trump xenophobia american anti arain cair court hoq islamophobia islamophobic muslim nawabi pacific standard trump xenophobia,"Muslim-American community advocates recorded a surge in reports of Islamophobic incidents this year amid what some say is the government's sanctioning of xenophobia directed at their community. Despite this uptick in bigotry, there's been an unprecedented"
7/18/2018 0:00,Woman hit man in head with bucket 'because she hates black people' according to report,seattlepi.com,Seattle,WA,https://www.seattlepi.com/local/crime/article/seattle-pioneer-square-black-hate-crime-bucket-13082943.php,bucket extension gospel hate hates lip lynsi lynsiburton lynsiburton_pi man mission pioneer seattle seattlepi second south square woman,"Seattle police arrested a 25-year-old woman Sunday on suspicion of a hate crime after she smacked a man in the face with a bucket in Pioneer Square.    Police responded to an assault call about 12:34 pm in the 300 block of Second Avenue Extension South,"
7/18/2018 0:00,"This is how an arsonist's hate crime against Muslims in Victoria, Texas, backfired",Corpus Christi Caller-Times,Corpus Christi,TX,https://www.caller.com/story/opinion/2018/07/18/how-arsonists-crime-against-muslims-victoria-texas-backfired/795987002/,american arsonist backfired faiths fire hate islamic marq mosque muslim perez texas trump victoria vincent american arsonist backfired faiths fire hate islamic marq mosque muslim perez texas trump victoria vincent american arsonist backfired faiths fire hate islamic marq mosque muslim perez texas trump victoria vincent american arsonist backfired faiths fire hate islamic marq mosque muslim perez texas trump victoria vincent american arsonist backfired faiths fire hate islamic marq mosque muslim perez texas trump victoria vincent,"If starting a fire was all that convicted arsonist Marq Vincent Perez intended to do, mission accomplished. But if his goal in burning down a mosque in Victoria was to attack Islam, spread hatred and sow distrust in our institutions, he couldn't have"
7/18/2018 0:00,"Study: When Trump tweets about Muslims, hate crimes increase",Big Think,New York,NY,https://bigthink.com/brandon-weber/dog-whistles-indeed-twitter-encourages-hate-crimes-study-shows,anti correlation county crimes hate internet muslim müller schwarz social speech trump twitter united anti correlation county crimes hate internet muslim müller schwarz social speech trump twitter united,"It's not your imagination, folks. An increase in hate speech on social media—and especially, Twitter—is leading to increased hate crimes and violence away from social media.  The study, published in Social Science Research Network, focuses specifically"
7/18/2018 0:00,Keystone United: 5 Fast Facts You Need to Know,Heavy.com,New York,NY,https://heavy.com/news/2018/07/keystone-united/,group harrisburg keystone law members morris nuzzi pennsylvania skinheads smith trac trump united white group harrisburg keystone law members morris nuzzi pennsylvania skinheads smith trac trump united white group harrisburg keystone law members morris nuzzi pennsylvania skinheads smith trac trump united white group harrisburg keystone law members morris nuzzi pennsylvania skinheads smith trac trump united white,"Keystone United is a white supremacist group which was founded in Harrisburg, Pennsylvania and is now active throughout the state. Keystone United's members have been convicted of hate crimes and racially motivated violence, and the Southern Poverty Law"
